Product Code,Line Item,Category,Sub Category,Conversion Factor,Supplier,Cost Type,Purchase Type,Made in,Product Group,Model,Brand,Product Name,Size,Color,Cost Price,Wholesale Price,Retail Price,Profit(%),Difference,Barcode Customer SKU Code 1
CARX002,Car Care,Care Shampoo & Conditioner,,0,Ahsan Traders,Fixed,,,,,CARE-X,CARE X7 Car Wash Shampoo & Conditioner 500ML,Default,Default,349.999,438,437,20.09,88.001,
COSMC01,Car Care,Car Wax / Polishes,CARNAUBA HARD WAX,0,Ahsan Traders,Fixed,,,,,Kangaroo,Cosmic Easy CARNAUBA Wax 200 gm KOREA,Default,Default,1050,1313,1313,20.03,263,
COSMC02,Car Care,Tire Wax / Polisher,,0,Ahsan Traders,Fixed,,,,,Kangaroo,Cosmic Leather & Tyre Wax 450ML made china,Default,Default,935,1175,1169,20.43,240,
DG10001,Car Care,DashBoard Spray Polish,,0,Ahsan Traders,Fixed,,,,,DG1,DG 1 Dragon Dashboard polish 1pcs - 450 ML Different smells,Default,Default,250,313,313,20.13,63,
DZL0001,Car Care,DashBoard Spray Polish,,0,Ahsan Traders,Fixed,,,,,Dayzzel,Dayzzel Dashboard Polish 450 ML,Default,Default,300,375,375,20,75,
FZT0001,Car Care,Coolant,,0,Ahsan Traders,Fixed,,,,,FREEZTONE,Freeztone Radiation Coolant 3.79 Ltr Gl Made USA,Default,Default,2700,3375,3375,20,675,
HAJV001,Car Care,Car Wax / Polishes,CARNAUBA HARD WAX,0,Ahsan Traders,Fixed,,PAKISTAN,,,HAJVERI,HAJVERI CAR POLISH 100 ML,Default,Default,159.9993,225,200,28.89,65.0007,
HAJV002,Car Care,Rubbing Compound,,0,Ahsan Traders,Fixed,,PAKISTAN,,,HAJVERI,Hajveri polishing compound scratch remover,Default,Default,150,188,188,20.21,38,
HAJV003,Car Care,Scratch Removers,,0,Ahsan Traders,Fixed,,PAKISTAN,,,HAJVERI,HAJVERI SCRATCH OUT 240 ML MADE PAKISTAN,Default,Default,450,563,563,20.07,113,
KANG001,Car Care,Interior Protectant,Leather & Tyre,0,Ahsan Traders,Fixed,,KOREA,,,Kangaroo,Kangaroo Car Interior Spray Leather & Tyre Wax Made in Korea,Default,Default,940,1175,1175,20,235,
KANG002,Car Care,Car Wax / Polishes,CARNAUBA HARD WAX,0,Ahsan Traders,Fixed,,KOREA,,,Kangaroo,Kangaroo Hard Natural Carnauba Wax Korea 300 gm,Default,Default,1550,1925,1938,19.48,375,
KEYH001,Car Care,Key Holder,,0,Ahsan Traders,Fixed,,,,,,"KEY Holder for Bikes, Cars, Homes, and Offices Made China",Default,Default,220,275,275,20,55,
LOCF101,Car Care,Car Wax / Polishes,CARNAUBA HARD WAX,0,Ahsan Traders,Fixed,,,,,,PACK OF 2 Quick Formula TUBE CARNAUBA CAR WAX 100 gm,Default,Default,160,200,200,20,40,
MFIBR01,Car Care,MICROFIBER CLOTH,,0,Ahsan Traders,Fixed,,,,,,Pack of 6 Microfiber Different color Cloth (300 GSM) ( 40 X 60 cm ) China,Default,Default,1200,1500,1500,20,300,
MFIBR02,Car Care,MICROFIBER CLOTH,,0,Ahsan Traders,Fixed,,,,,,PACK OF 2 MICRO FIBER 40 cm x 40 cm- 300GSM Diffrent colors - china,Default,Default,0,0,0,0,0,
MFIBR03,Car Care,MICROFIBER CLOTH,,0,Ahsan Traders,Fixed,,,,,,Pack of 2 Microfiber 6 Different Colour Size: 50 X 70 CM - 300GSM,Default,Default,1350,1688,1688,20.02,338,
MFIBR04,Car Care,MICROFIBER CLOTH,,0,Ahsan Traders,Fixed,,,,,,4 Pcs - Microfiber Multi-colour Cloth ( 300 Gsm ) 30*60 cm,Default,Default,520,650,650,20,130,
MFIBR05,Car Care,MICROFIBER CLOTH,,0,Ahsan Traders,Fixed,,,,,,Pack of 2 Microfiber 40 X 40 cm - 400 GSM Blue Colour china,Default,Default,0,0,0,0,0,
SEGA001,Car Care,Glass Cleaner,,0,Ahsan Traders,Fixed,,,,,SEGA,Sega Auto Glass Cleaner Prime shine 750ML Made in korea,Default,Default,700,875,875,20,175,
SFT9901,Car Care,Car Wax / Polishes,BLACK COLOR WAX,0,Ahsan Traders,Fixed,,Japan,,,SOFT99,SOFT 99 AUTO WAX BLACK 250 GM JAPAN,Default,Default,1350,1688,1688,20.02,338,
SHNX001,Car Care,Car Wax / Polishes,CARNAUBA HARD WAX,0,Ahsan Traders,Fixed,,U.S.A,,,SHINEX,SHINEX CARNAUBA HARD WAX Green 300 gm USA,Default,Default,1450,1813,1813,20.02,363,
SHNX002,Car Care,Car Wax / Polishes,CARNAUBA HARD WAX,0,Ahsan Traders,Fixed,,U.S.A,,,SHINEX,Shinex CARNAUBA HARD WAX CERAMIC LOOK 200gm USA,Default,Default,900,1125,1125,20,225,
SHNX003,Car Care,Car Wax / Polishes,CARNAUBA HARD WAX,0,Ahsan Traders,Fixed,,U.S.A,,,SHINEX,Shinex Orange Hard wax PROFESSIONAL CARNAUBA WAX 200gm USA,Default,Default,950,1188,1188,20.03,238,
SIDE001,Car Care,Car Shampoo,,0,Ahsan Traders,Fixed,,PAKISTAN,,,Sidex,SIDEX CAR Shampoo - High Foaming BLUE - 250ml,Default,Default,300,375,375,20,75,7433922725004
SIDE002,Car Care,Car Shampoo,Foaming Shampoo,0,Ahsan Traders,Fixed,,PAKISTAN,,,Sidex,Sidex High Foaming Car Shampoo 500 ML,Default,Default,550,688,688,20.06,138,
SIDE003,Car Care,Car Wax / Polishes,,0,Ahsan Traders,Fixed,,PAKISTAN,,,Sidex,SIDEX CAR WAX SHINES & PROTECTS - 200gm,Default,Default,800,1063,1000,24.74,263,
SIDE004,Car Care,Dashboard Cleaner,,0,Ahsan Traders,Fixed,,PAKISTAN,,,Sidex,SIDEX CAR Dashboard Cleaner - 300 ML,Default,Default,550,688,688,20.06,138,924235260401
SIDE005,Car Care,Dashboard Cleaner,,0,Ahsan Traders,Fixed,,PAKISTAN,,,Sidex,SIDEX CAR Dashboard Cleaner 120ml,Default,Default,270,338,338,20.12,68,1209945244237
SIDE006,Car Care,Glass Cleaner,WIND SHEILD CLEANER,0,Ahsan Traders,Fixed,,PAKISTAN,,,Sidex,SIDEX WIND SHEILD & GLASS CLEANER with Anti-FOG 500ml,Default,Default,290,420,363,30.95,130,
SIDE007,Car Care,Tire Wax / Polisher,,0,Ahsan Traders,Fixed,,PAKISTAN,,,Sidex,SIDEX TIRE Shine 120ml,Default,Default,300,375,375,20,75,9563215825635
UNIC001,Car Care,Interior Protectant,Leather & Tyre,0,Ahsan Traders,Fixed,,PAKISTAN,,,UNICORN,Unicorn Leather and Tyre Gloss OUD Fragrance 500 ML,Default,Default,750,938,938,20.04,188,
UNIC002,Car Care,WAX & POLISH,Car Liquid Wax,0,Ahsan Traders,Fixed,,PAKISTAN,,,UNICORN,Unicorn Car Body polish liquid wax 500ml,Default,Default,650,813,813,20.05,163,
UNIC003,Car Care,Car Protectant,Revive All,0,Ahsan Traders,Fixed,,PAKISTAN,,,UNICORN,Unicorn - Revive All Shine and Protects 250ML,Default,Default,400,500,500,20,100,
UNIC004,Car Care,Car Shampoo,,0,Ahsan Traders,Fixed,,PAKISTAN,,,UNICORN,Unicorn shampoo 30ML Wash & Wax,Default,Default,25,31,31,19.35,6,
UNIC005,Car Care,Car Wax / Polishes,,0,Ahsan Traders,Fixed,,PAKISTAN,,,UNICORN,Unicorn Car Body Polish 100g YELLOW Box with Applicator,Default,Default,175,219,219,20.09,44,4892100090304
UNIC006,Car Care,Coolant,Concentrate Coolant,0,Ahsan Traders,Fixed,,PAKISTAN,,,UNICORN,"Unicorn Power Coolant, Concentrate Coolant 1 Liter, 10 liter water",Default,Default,600,750,750,20,150,
UNIC007,Car Care,Engine Degreaser & Cleaner,,0,Ahsan Traders,Fixed,,PAKISTAN,,,UNICORN,Unicorn Engine Cleaner DEGREASER 500 ml,Default,Default,0,0,0,0,0,
UNIC008,Car Care,Glass Cleaner,,0,Ahsan Traders,Fixed,,PAKISTAN,,,UNICORN,Unicorn Glass & Window Cleaner 500ML,Default,Default,300,375,375,20,75,
UNIC009,Car Care,Scratch Removers,,0,Ahsan Traders,Fixed,,PAKISTAN,,,UNICORN,Unicorn Scratch Remover Color & Gloss Restorer 100g,Default,Default,150,320,188,53.13,170,4892100070108
UNIC010,Car Care,Rubbing Compound,,0,Ahsan Traders,Fixed,,PAKISTAN,,,UNICORN,UNICORN RUBBING COMPOUND White JAR 100g,Default,Default,140,290,175,51.72,150,4892100080206
UNIC011,Car Care,Shine RESTORER,,0,Ahsan Traders,Fixed,,PAKISTAN,,,UNICORN,UNICORN BLACK SHINE RESTORE BRIGHTENING 250 ML,Default,Default,0,0,0,0,0,
UNIC012,Car Care,Multipurpose Cleaner,,0,Ahsan Traders,Fixed,,PAKISTAN,,,UNICORN,Unicorn Multi Purpose Cleaner 250 ML With 1 pcs Free gift windshield washer 100 ML,Default,Default,250,313,313,20.13,63,
UNIC013,Car Care,WindShield Cleaner,,0,Ahsan Traders,Fixed,,PAKISTAN,,,UNICORN,Pack of 3 Unicorn WindShield Washer 100 ML,Default,Default,0,0,0,0,0,
UNIC014,Car Care,Multipurpose Cleaner,,0,Ahsan Traders,Fixed,,PAKISTAN,,,UNICORN,Unicorn Multi Purpose Cleaner 500 ML,Default,Default,0,0,0,0,0,
BULL006,Car Care,Car Shampoo Waterless,WaterLess Shampoo,0,Ahsan Traders,Fixed,,,,,BULLSONE,Bullsone 2-in-1 Waterless Car Cleaner & Wax 550ml,Default,Default,850,1125,1063,24.44,275,
BULL007,Car Care,Car Wax / Polishes,White Color WAX,0,Ahsan Traders,Fixed,,,,,BULLSONE,Bullsone Nano tech Car wax for white Colored Cars 300gm,Default,Default,3300,4125,4125,20,825,
BULL008,Car Care,Car Wax / Polishes,ALL COLOR WAX,0,Ahsan Traders,Fixed,,,,,BULLSONE,Bullsone Van Guard Wax All Colored Car 200gm Korean-Made,Default,Default,730,913,913,20.04,183,
